slug,name_display,source_format,original_preserved,raw_path,thumb_path,normalized_path,hires_path,output_format,status,notes
ab-crunch-machine,Ab Crunch Machine,png,yes,assets/exercises/Ab Crunch Machine.png,assets/exercises/thumbs/ab-crunch-machine.webp,assets/exercises/normalized/ab-crunch-machine.webp,assets/exercises/hires/ab-crunch-machine.webp,webp,ok,6838KB → norm: 297KB (-96%)
ab-wheel-rollout,Ab Wheel Rollout,png,yes,assets/exercises/Ab Wheel Rollout.png,assets/exercises/thumbs/ab-wheel-rollout.webp,assets/exercises/normalized/ab-wheel-rollout.webp,assets/exercises/hires/ab-wheel-rollout.webp,webp,ok,6680KB → norm: 132KB (-98%)
archer-push-up,Archer Push-Up,png,yes,assets/exercises/Archer Push-Up.png,assets/exercises/thumbs/archer-push-up.webp,assets/exercises/normalized/archer-push-up.webp,assets/exercises/hires/archer-push-up.webp,webp,ok,75KB → norm: 13KB (-82%)
arnold-press,Arnold Press,png,yes,assets/exercises/Arnold Press.png,assets/exercises/thumbs/arnold-press.webp,assets/exercises/normalized/arnold-press.webp,assets/exercises/hires/arnold-press.webp,webp,ok,282KB → norm: 27KB (-90%)
assisted-dips,Assisted Dips,png,yes,assets/exercises/Assisted Dips.png,assets/exercises/thumbs/assisted-dips.webp,assets/exercises/normalized/assisted-dips.webp,assets/exercises/hires/assisted-dips.webp,webp,ok,1228KB → norm: 38KB (-97%)
assisted-pull-up-machine,Assisted Pull-Up Machine,png,yes,assets/exercises/Assisted Pull-Up Machine.png,assets/exercises/thumbs/assisted-pull-up-machine.webp,assets/exercises/normalized/assisted-pull-up-machine.webp,assets/exercises/hires/assisted-pull-up-machine.webp,webp,ok,1530KB → norm: 330KB (-78%)
australian-pull-up,Australian Pull-Up,png,yes,assets/exercises/Australian Pull-Up.png,assets/exercises/thumbs/australian-pull-up.webp,assets/exercises/normalized/australian-pull-up.webp,assets/exercises/hires/australian-pull-up.webp,webp,ok,918KB → norm: 23KB (-97%)
barbell-back-squat,Barbell Back Squat,png,yes,assets/exercises/Barbell Back Squat.png,assets/exercises/thumbs/barbell-back-squat.webp,assets/exercises/normalized/barbell-back-squat.webp,assets/exercises/hires/barbell-back-squat.webp,webp,ok,1630KB → norm: 183KB (-89%)
barbell-bench-press,Barbell Bench Press,png,yes,assets/exercises/Barbell Bench Press.png,assets/exercises/thumbs/barbell-bench-press.webp,assets/exercises/normalized/barbell-bench-press.webp,assets/exercises/hires/barbell-bench-press.webp,webp,ok,1052KB → norm: 30KB (-97%)
barbell-curl,Barbell Curl,png,yes,assets/exercises/Barbell Curl.png,assets/exercises/thumbs/barbell-curl.webp,assets/exercises/normalized/barbell-curl.webp,assets/exercises/hires/barbell-curl.webp,webp,ok,985KB → norm: 26KB (-97%)
barbell-row,Barbell Row,png,yes,assets/exercises/Barbell Row.png,assets/exercises/thumbs/barbell-row.webp,assets/exercises/normalized/barbell-row.webp,assets/exercises/hires/barbell-row.webp,webp,ok,634KB → norm: 32KB (-95%)
battle-ropes,Battle Ropes,png,yes,assets/exercises/Battle Ropes.png,assets/exercises/thumbs/battle-ropes.webp,assets/exercises/normalized/battle-ropes.webp,assets/exercises/hires/battle-ropes.webp,webp,ok,1127KB → norm: 37KB (-97%)
bear-crawl,Bear Crawl,png,yes,assets/exercises/Bear Crawl.png,assets/exercises/thumbs/bear-crawl.webp,assets/exercises/normalized/bear-crawl.webp,assets/exercises/hires/bear-crawl.webp,webp,ok,883KB → norm: 49KB (-94%)
bench-dip,Bench Dip,png,yes,assets/exercises/Bench Dip.png,assets/exercises/thumbs/bench-dip.webp,assets/exercises/normalized/bench-dip.webp,assets/exercises/hires/bench-dip.webp,webp,ok,2041KB → norm: 338KB (-83%)
bicycle-crunch,Bicycle Crunch,png,yes,assets/exercises/Bicycle Crunch.png,assets/exercises/thumbs/bicycle-crunch.webp,assets/exercises/normalized/bicycle-crunch.webp,assets/exercises/hires/bicycle-crunch.webp,webp,ok,285KB → norm: 29KB (-90%)
bird-dog,Bird Dog,png,yes,assets/exercises/Bird Dog.png,assets/exercises/thumbs/bird-dog.webp,assets/exercises/normalized/bird-dog.webp,assets/exercises/hires/bird-dog.webp,webp,ok,240KB → norm: 25KB (-90%)
box-jump,Box Jump,png,yes,assets/exercises/Box Jump.png,assets/exercises/thumbs/box-jump.webp,assets/exercises/normalized/box-jump.webp,assets/exercises/hires/box-jump.webp,webp,ok,760KB → norm: 177KB (-77%)
box-squat,Box Squat,png,yes,assets/exercises/Box Squat.png,assets/exercises/thumbs/box-squat.webp,assets/exercises/normalized/box-squat.webp,assets/exercises/hires/box-squat.webp,webp,ok,1834KB → norm: 178KB (-90%)
bulgarian-split-squat,Bulgarian Split Squat,png,yes,assets/exercises/Bulgarian Split Squat.png,assets/exercises/thumbs/bulgarian-split-squat.webp,assets/exercises/normalized/bulgarian-split-squat.webp,assets/exercises/hires/bulgarian-split-squat.webp,webp,ok,230KB → norm: 25KB (-89%)
burpee,Burpee,png,yes,assets/exercises/Burpee.png,assets/exercises/thumbs/burpee.webp,assets/exercises/normalized/burpee.webp,assets/exercises/hires/burpee.webp,webp,ok,802KB → norm: 22KB (-97%)
cable-chest-fly,Cable Chest Fly,png,yes,assets/exercises/Cable Chest Fly.png,assets/exercises/thumbs/cable-chest-fly.webp,assets/exercises/normalized/cable-chest-fly.webp,assets/exercises/hires/cable-chest-fly.webp,webp,ok,1103KB → norm: 36KB (-97%)
cable-crunch,Cable Crunch,png,yes,assets/exercises/Cable Crunch.png,assets/exercises/thumbs/cable-crunch.webp,assets/exercises/normalized/cable-crunch.webp,assets/exercises/hires/cable-crunch.webp,webp,ok,919KB → norm: 174KB (-81%)
cable-curl,Cable Curl,png,yes,assets/exercises/Cable Curl.png,assets/exercises/thumbs/cable-curl.webp,assets/exercises/normalized/cable-curl.webp,assets/exercises/hires/cable-curl.webp,webp,ok,1520KB → norm: 309KB (-80%)
cable-kickback,Cable Kickback,png,yes,assets/exercises/Cable Kickback.png,assets/exercises/thumbs/cable-kickback.webp,assets/exercises/normalized/cable-kickback.webp,assets/exercises/hires/cable-kickback.webp,webp,ok,1001KB → norm: 159KB (-84%)
cable-lateral-raise,Cable Lateral Raise,png,yes,assets/exercises/Cable Lateral Raise.png,assets/exercises/thumbs/cable-lateral-raise.webp,assets/exercises/normalized/cable-lateral-raise.webp,assets/exercises/hires/cable-lateral-raise.webp,webp,ok,492KB → norm: 66KB (-87%)
cable-pull-through,Cable Pull-Through,png,yes,assets/exercises/Cable Pull-Through.png,assets/exercises/thumbs/cable-pull-through.webp,assets/exercises/normalized/cable-pull-through.webp,assets/exercises/hires/cable-pull-through.webp,webp,ok,1027KB → norm: 28KB (-97%)
cable-triceps-kickback,Cable Triceps Kickback,png,yes,assets/exercises/Cable Triceps Kickback.png,assets/exercises/thumbs/cable-triceps-kickback.webp,assets/exercises/normalized/cable-triceps-kickback.webp,assets/exercises/hires/cable-triceps-kickback.webp,webp,ok,1648KB → norm: 148KB (-91%)
calf-raise,Calf Raise,png,yes,assets/exercises/Calf Raise.png,assets/exercises/thumbs/calf-raise.webp,assets/exercises/normalized/calf-raise.webp,assets/exercises/hires/calf-raise.webp,webp,ok,1256KB → norm: 270KB (-79%)
cat-cow-stretch,Cat-Cow Stretch,png,yes,assets/exercises/Cat-Cow Stretch.png,assets/exercises/thumbs/cat-cow-stretch.webp,assets/exercises/normalized/cat-cow-stretch.webp,assets/exercises/hires/cat-cow-stretch.webp,webp,ok,193KB → norm: 18KB (-90%)
chest-fly,Chest Fly,png,yes,assets/exercises/Chest Fly.png,assets/exercises/thumbs/chest-fly.webp,assets/exercises/normalized/chest-fly.webp,assets/exercises/hires/chest-fly.webp,webp,ok,1055KB → norm: 36KB (-97%)
chest-opener-stretch,Chest Opener Stretch,png,yes,assets/exercises/Chest Opener Stretch.png,assets/exercises/thumbs/chest-opener-stretch.webp,assets/exercises/normalized/chest-opener-stretch.webp,assets/exercises/hires/chest-opener-stretch.webp,webp,ok,256KB → norm: 22KB (-92%)
chest-press-machine,Chest Press Machine,png,yes,assets/exercises/Chest Press Machine.png,assets/exercises/thumbs/chest-press-machine.webp,assets/exercises/normalized/chest-press-machine.webp,assets/exercises/hires/chest-press-machine.webp,webp,ok,1246KB → norm: 38KB (-97%)
chest-supported-row,Chest-Supported Row,png,yes,assets/exercises/Chest-Supported Row.png,assets/exercises/thumbs/chest-supported-row.webp,assets/exercises/normalized/chest-supported-row.webp,assets/exercises/hires/chest-supported-row.webp,webp,ok,1182KB → norm: 34KB (-97%)
child-s-pose,Child's Pose,png,yes,assets/exercises/Child's Pose.png,assets/exercises/thumbs/child-s-pose.webp,assets/exercises/normalized/child-s-pose.webp,assets/exercises/hires/child-s-pose.webp,webp,ok,158KB → norm: 16KB (-90%)
chin-up,Chin-Up,png,yes,assets/exercises/Chin-Up.png,assets/exercises/thumbs/chin-up.webp,assets/exercises/normalized/chin-up.webp,assets/exercises/hires/chin-up.webp,webp,ok,1047KB → norm: 238KB (-77%)
close-grip-bench-press,Close-Grip Bench Press,png,yes,assets/exercises/Close-Grip Bench Press.png,assets/exercises/thumbs/close-grip-bench-press.webp,assets/exercises/normalized/close-grip-bench-press.webp,assets/exercises/hires/close-grip-bench-press.webp,webp,ok,1240KB → norm: 32KB (-97%)
concentration-curl,Concentration Curl,png,yes,assets/exercises/Concentration Curl.png,assets/exercises/thumbs/concentration-curl.webp,assets/exercises/normalized/concentration-curl.webp,assets/exercises/hires/concentration-curl.webp,webp,ok,1537KB → norm: 310KB (-80%)
crunch,Crunch,png,yes,assets/exercises/Crunch.png,assets/exercises/thumbs/crunch.webp,assets/exercises/normalized/crunch.webp,assets/exercises/hires/crunch.webp,webp,ok,217KB → norm: 27KB (-87%)
cycling,Cycling,png,yes,assets/exercises/Cycling.png,assets/exercises/thumbs/cycling.webp,assets/exercises/normalized/cycling.webp,assets/exercises/hires/cycling.webp,webp,ok,1986KB → norm: 340KB (-83%)
dead-bug,Dead Bug,png,yes,assets/exercises/Dead Bug.png,assets/exercises/thumbs/dead-bug.webp,assets/exercises/normalized/dead-bug.webp,assets/exercises/hires/dead-bug.webp,webp,ok,250KB → norm: 22KB (-91%)
deadlift,Deadlift,png,yes,assets/exercises/Deadlift.png,assets/exercises/thumbs/deadlift.webp,assets/exercises/normalized/deadlift.webp,assets/exercises/hires/deadlift.webp,webp,ok,1477KB → norm: 347KB (-76%)
decline-bench-press,Decline Bench Press,png,yes,assets/exercises/Decline Bench Press.png,assets/exercises/thumbs/decline-bench-press.webp,assets/exercises/normalized/decline-bench-press.webp,assets/exercises/hires/decline-bench-press.webp,webp,ok,1069KB → norm: 33KB (-97%)
decline-push-up,Decline Push-Up,png,yes,assets/exercises/Decline Push-Up.png,assets/exercises/thumbs/decline-push-up.webp,assets/exercises/normalized/decline-push-up.webp,assets/exercises/hires/decline-push-up.webp,webp,ok,123KB → norm: 12KB (-90%)
diamond-push-up,Diamond Push-Up,png,yes,assets/exercises/Diamond Push-Up.png,assets/exercises/thumbs/diamond-push-up.webp,assets/exercises/normalized/diamond-push-up.webp,assets/exercises/hires/diamond-push-up.webp,webp,ok,196KB → norm: 15KB (-92%)
dips,Dips,png,yes,assets/exercises/Dips.png,assets/exercises/thumbs/dips.webp,assets/exercises/normalized/dips.webp,assets/exercises/hires/dips.webp,webp,ok,1165KB → norm: 24KB (-98%)
dumbbell-bench-press,Dumbbell Bench Press,png,yes,assets/exercises/Dumbbell Bench Press.png,assets/exercises/thumbs/dumbbell-bench-press.webp,assets/exercises/normalized/dumbbell-bench-press.webp,assets/exercises/hires/dumbbell-bench-press.webp,webp,ok,1064KB → norm: 31KB (-97%)
dumbbell-curl,Dumbbell Curl,png,yes,assets/exercises/Dumbbell Curl.png,assets/exercises/thumbs/dumbbell-curl.webp,assets/exercises/normalized/dumbbell-curl.webp,assets/exercises/hires/dumbbell-curl.webp,webp,ok,1421KB → norm: 278KB (-80%)
dumbbell-fly,Dumbbell Fly,png,yes,assets/exercises/Dumbbell Fly.png,assets/exercises/thumbs/dumbbell-fly.webp,assets/exercises/normalized/dumbbell-fly.webp,assets/exercises/hires/dumbbell-fly.webp,webp,ok,272KB → norm: 39KB (-86%)
dumbbell-row,Dumbbell Row,png,yes,assets/exercises/Dumbbell Row.png,assets/exercises/thumbs/dumbbell-row.webp,assets/exercises/normalized/dumbbell-row.webp,assets/exercises/hires/dumbbell-row.webp,webp,ok,621KB → norm: 39KB (-94%)
dumbbell-shoulder-press,Dumbbell Shoulder Press,png,yes,assets/exercises/Dumbbell Shoulder Press.png,assets/exercises/thumbs/dumbbell-shoulder-press.webp,assets/exercises/normalized/dumbbell-shoulder-press.webp,assets/exercises/hires/dumbbell-shoulder-press.webp,webp,ok,1290KB → norm: 137KB (-89%)
elliptical,Elliptical,png,yes,assets/exercises/Elliptical.png,assets/exercises/thumbs/elliptical.webp,assets/exercises/normalized/elliptical.webp,assets/exercises/hires/elliptical.webp,webp,ok,2077KB → norm: 295KB (-86%)
face-pull,Face Pull,png,yes,assets/exercises/Face Pull.png,assets/exercises/thumbs/face-pull.webp,assets/exercises/normalized/face-pull.webp,assets/exercises/hires/face-pull.webp,webp,ok,956KB → norm: 22KB (-98%)
farmer-s-walk,Farmer's Walk,png,yes,assets/exercises/Farmer's Walk.png,assets/exercises/thumbs/farmer-s-walk.webp,assets/exercises/normalized/farmer-s-walk.webp,assets/exercises/hires/farmer-s-walk.webp,webp,ok,990KB → norm: 209KB (-79%)
front-raise,Front Raise,png,yes,assets/exercises/Front Raise.png,assets/exercises/thumbs/front-raise.webp,assets/exercises/normalized/front-raise.webp,assets/exercises/hires/front-raise.webp,webp,ok,1023KB → norm: 27KB (-97%)
front-squat,Front Squat,png,yes,assets/exercises/Front Squat.png,assets/exercises/thumbs/front-squat.webp,assets/exercises/normalized/front-squat.webp,assets/exercises/hires/front-squat.webp,webp,ok,1972KB → norm: 191KB (-90%)
glute-bridge,Glute Bridge,png,yes,assets/exercises/Glute Bridge.png,assets/exercises/thumbs/glute-bridge.webp,assets/exercises/normalized/glute-bridge.webp,assets/exercises/hires/glute-bridge.webp,webp,ok,843KB → norm: 16KB (-98%)
goblet-squat,Goblet Squat,png,yes,assets/exercises/Goblet Squat.png,assets/exercises/thumbs/goblet-squat.webp,assets/exercises/normalized/goblet-squat.webp,assets/exercises/hires/goblet-squat.webp,webp,ok,2120KB → norm: 143KB (-93%)
good-morning,Good Morning,png,yes,assets/exercises/Good Morning.png,assets/exercises/thumbs/good-morning.webp,assets/exercises/normalized/good-morning.webp,assets/exercises/hires/good-morning.webp,webp,ok,590KB → norm: 30KB (-95%)
hack-squat,Hack Squat,png,yes,assets/exercises/Hack Squat.png,assets/exercises/thumbs/hack-squat.webp,assets/exercises/normalized/hack-squat.webp,assets/exercises/hires/hack-squat.webp,webp,ok,349KB → norm: 56KB (-84%)
hammer-curl,Hammer Curl,png,yes,assets/exercises/Hammer Curl.png,assets/exercises/thumbs/hammer-curl.webp,assets/exercises/normalized/hammer-curl.webp,assets/exercises/hires/hammer-curl.webp,webp,ok,1759KB → norm: 264KB (-85%)
handstand-hold,Handstand Hold,png,yes,assets/exercises/Handstand Hold.png,assets/exercises/thumbs/handstand-hold.webp,assets/exercises/normalized/handstand-hold.webp,assets/exercises/hires/handstand-hold.webp,webp,ok,188KB → norm: 19KB (-90%)
handstand-push-up,Handstand Push-Up,png,yes,assets/exercises/Handstand Push-Up.png,assets/exercises/thumbs/handstand-push-up.webp,assets/exercises/normalized/handstand-push-up.webp,assets/exercises/hires/handstand-push-up.webp,webp,ok,1592KB → norm: 134KB (-92%)
hanging-knee-raise,Hanging Knee Raise,png,yes,assets/exercises/Hanging Knee Raise.png,assets/exercises/thumbs/hanging-knee-raise.webp,assets/exercises/normalized/hanging-knee-raise.webp,assets/exercises/hires/hanging-knee-raise.webp,webp,ok,874KB → norm: 20KB (-98%)
hanging-leg-raise,Hanging Leg Raise,png,yes,assets/exercises/Hanging Leg Raise.png,assets/exercises/thumbs/hanging-leg-raise.webp,assets/exercises/normalized/hanging-leg-raise.webp,assets/exercises/hires/hanging-leg-raise.webp,webp,ok,1032KB → norm: 28KB (-97%)
high-knees,High Knees,png,yes,assets/exercises/High Knees.png,assets/exercises/thumbs/high-knees.webp,assets/exercises/normalized/high-knees.webp,assets/exercises/hires/high-knees.webp,webp,ok,1193KB → norm: 25KB (-98%)
hip-abduction,Hip Abduction,png,yes,assets/exercises/Hip Abduction.png,assets/exercises/thumbs/hip-abduction.webp,assets/exercises/normalized/hip-abduction.webp,assets/exercises/hires/hip-abduction.webp,webp,ok,301KB → norm: 40KB (-87%)
hip-adduction,Hip Adduction,png,yes,assets/exercises/Hip Adduction.png,assets/exercises/thumbs/hip-adduction.webp,assets/exercises/normalized/hip-adduction.webp,assets/exercises/hires/hip-adduction.webp,webp,ok,7818KB → norm: 161KB (-98%)
hip-flexor-stretch,Hip Flexor Stretch,png,yes,assets/exercises/Hip Flexor Stretch.png,assets/exercises/thumbs/hip-flexor-stretch.webp,assets/exercises/normalized/hip-flexor-stretch.webp,assets/exercises/hires/hip-flexor-stretch.webp,webp,ok,232KB → norm: 21KB (-91%)
hip-thrust,Hip Thrust,png,yes,assets/exercises/Hip Thrust.png,assets/exercises/thumbs/hip-thrust.webp,assets/exercises/normalized/hip-thrust.webp,assets/exercises/hires/hip-thrust.webp,webp,ok,976KB → norm: 24KB (-97%)
hollow-body-hold,Hollow Body Hold,png,yes,assets/exercises/Hollow Body Hold.png,assets/exercises/thumbs/hollow-body-hold.webp,assets/exercises/normalized/hollow-body-hold.webp,assets/exercises/hires/hollow-body-hold.webp,webp,ok,101KB → norm: 11KB (-89%)
hyperextension,Hyperextension,png,yes,assets/exercises/Hyperextension.png,assets/exercises/thumbs/hyperextension.webp,assets/exercises/normalized/hyperextension.webp,assets/exercises/hires/hyperextension.webp,webp,ok,465KB → norm: 30KB (-93%)
inchworm,Inchworm,png,yes,assets/exercises/Inchworm.png,assets/exercises/thumbs/inchworm.webp,assets/exercises/normalized/inchworm.webp,assets/exercises/hires/inchworm.webp,webp,ok,474KB → norm: 19KB (-96%)
