id,category,muscle_group,difficulty,demonstration_url,description,created_at,name_en,name_es,equipment,type,is_compound,movement_pattern,notes,slug
"e2d4aa33-f880-4781-b665-442fa52da3c0","arms","biceps","beginner",,,"2026-04-24T22:58:47.864633+00:00","Barbell Curl","Curl con barra","barbell","gym","true","elbow_flexion",,"barbell-curl"
"52980e6e-3247-4d7d-b72d-2442888a3461","arms","biceps","beginner",,,"2026-04-24T22:58:47.864633+00:00","Cable Curl","Curl en polea","cable","gym","true","elbow_flexion",,"cable-curl"
"079cd9b5-e86b-4695-9a21-b2c448838307","arms","biceps","beginner",,,"2026-04-24T22:58:47.864633+00:00","Concentration Curl","Curl concentrado","dumbbells","gym","true","elbow_flexion",,"concentration-curl"
"ed06e458-b855-4e2c-b947-5499be910b27","arms","biceps","beginner",,,"2026-04-24T22:58:47.864633+00:00","Dumbbell Curl","Curl con mancuernas","dumbbells","gym","true","elbow_flexion",,"dumbbell-curl"
"823bc836-d910-49a4-97de-a766be95f41c","arms","biceps","intermediate",,,"2026-04-24T22:58:47.864633+00:00","Incline Dumbbell Curl","Curl inclinado con mancuernas","dumbbells","gym","true","elbow_flexion",,"incline-dumbbell-curl"
"1264f9db-04db-4d6b-929c-a349a85027c5","arms","biceps","beginner",,,"2026-04-24T22:58:47.864633+00:00","Preacher Curl","Curl predicador","machine","gym","true","elbow_flexion",,"preacher-curl"
"d6684efe-ea4e-4846-9343-0c25084cf804","arms","biceps/forearms","beginner",,,"2026-04-24T22:58:47.864633+00:00","Hammer Curl","Curl martillo","dumbbells","gym","true","elbow_flexion",,"hammer-curl"
"bd1c6f1d-bd52-421c-8677-b50019dae1a0","arms","triceps","beginner",,,"2026-04-24T22:58:47.864633+00:00","Bench Dip","Fondos en banco","bodyweight","calisthenics","true","vertical_push",,"bench-dip"
"4290018b-0ff9-4af6-b5a5-2295b4c247f2","arms","triceps","beginner",,,"2026-04-24T22:58:47.864633+00:00","Cable Triceps Kickback","Patada de tríceps en polea","cable","gym","true","elbow_extension",,"cable-triceps-kickback"
"0b391754-113d-4628-ae7d-4bf3b1e1a2ce","arms","triceps","beginner",,,"2026-04-24T22:58:47.864633+00:00","Overhead Triceps Extension","Extensión de tríceps por encima de la cabeza","dumbbell","gym","true","elbow_extension",,"overhead-triceps-extension"
"48b6c878-e8be-4deb-a470-a846b152fabc","arms","triceps","intermediate",,,"2026-04-24T22:58:47.864633+00:00","Skull Crusher","Rompecráneos","barbell","gym","true","elbow_extension",,"skull-crusher"
"71086048-d0d4-48a7-8d65-1838b88582fa","arms","triceps","beginner",,,"2026-04-24T22:58:47.864633+00:00","Triceps Pushdown","Extensión de tríceps en polea","cable","gym","true","elbow_extension",,"triceps-pushdown"
"52550888-0db4-44dd-a103-70eec66d0b4c","arms","triceps/chest","beginner",,,"2026-04-24T22:58:47.864633+00:00","Assisted Dips","Fondos asistidos","machine","gym","true","vertical_push",,"assisted-dips"
"bae18bab-029d-40cb-84a1-3e4617c8c8e7","arms","triceps/chest","intermediate",,,"2026-04-24T22:58:47.864633+00:00","Close-Grip Bench Press","Press de banca agarre cerrado","barbell","gym","true","horizontal_push",,"close-grip-bench-press"
"e7fd15e0-897f-4789-8c06-568b3edc79fe","arms","triceps/chest","intermediate",,,"2026-04-24T22:58:47.864633+00:00","Dips","Fondos","bodyweight","calisthenics","true","vertical_push",,"dips"
"a638420e-e118-44e8-a7d6-313c0380cdc1","back","back","beginner",,,"2026-04-24T22:58:47.864633+00:00","Australian Pull-Up","Dominada australiana","bodyweight","calisthenics","true","horizontal_pull",,"australian-pull-up"
"80f1072c-03de-4fb6-b406-0e74aa613e34","back","back","beginner",,,"2026-04-24T22:58:47.864633+00:00","Inverted Row","Remo invertido","bodyweight","calisthenics","true","horizontal_pull",,"inverted-row"
"556b4d2a-19ab-4545-89e1-bef19a592341","back","lats","beginner",,,"2026-04-24T22:58:47.864633+00:00","Assisted Pull-Up Machine","Dominada asistida en máquina","machine","gym","true","vertical_pull",,"assisted-pull-up-machine"
"f9e315f9-0147-41dd-8bc6-3431874392d0","back","lats","intermediate",,,"2026-04-24T22:58:47.864633+00:00","Chin-Up","Dominada supina","bodyweight","calisthenics","true","vertical_pull",,"chin-up"
"314024d7-5197-43d5-a4bc-a0f3c70e9572","back","lats","beginner",,,"2026-04-24T22:58:47.864633+00:00","Dumbbell Row","Remo con mancuerna","dumbbells","gym","true","horizontal_pull",,"dumbbell-row"
"64d3961f-5188-49c0-892b-3ef924bd2bc6","back","lats","beginner",,,"2026-04-24T22:58:47.864633+00:00","Lat Pulldown","Jalón al pecho","machine","gym","true","vertical_pull",,"lat-pulldown"
"e55234c3-375e-4828-930b-7fee64c31c7a","back","lats","intermediate",,,"2026-04-24T22:58:47.864633+00:00","Pull-Up","Dominada","bodyweight","calisthenics","true","vertical_pull",,"pull-up"
"c5dd5072-e786-4b0b-897f-cf71d0751663","back","lats","beginner",,,"2026-04-24T22:58:47.864633+00:00","Single-Arm Cable Row","Remo unilateral en polea","cable","gym","true","horizontal_pull",,"single-arm-cable-row"
"c8017401-cd28-454a-9578-ffe902da07fc","back","lats","intermediate",,,"2026-04-24T22:58:47.864633+00:00","Straight-Arm Pulldown","Jalón de brazos rectos","cable","gym","true","shoulder_extension",,"straight-arm-pulldown"
"88042988-0880-4e6c-b5c0-ac646ca44a0b","back","lats","beginner",,,"2026-04-24T22:58:47.864633+00:00","Wide-Grip Lat Pulldown","Jalón al pecho agarre amplio","machine","gym","true","vertical_pull",,"wide-grip-lat-pulldown"
"ac5e5dda-0f35-4ed9-ab38-0cb7a9be3317","back","lower back","advanced",,,"2026-04-24T22:58:47.864633+00:00","Good Morning","Buenos días","barbell","gym","true","hip_hinge",,"good-morning"
"cbf72081-31f1-43c6-9615-6d4cb4c88a4a","back","lower back","beginner",,,"2026-04-24T22:58:47.864633+00:00","Hyperextension","Hiperextensión","bodyweight","gym","true","spinal_extension",,"hyperextension"
"93e7e411-42f7-4a2b-bba0-ad39f47dbf4f","back","middle back","intermediate",,,"2026-04-24T22:58:47.864633+00:00","Barbell Row","Remo con barra","barbell","gym","true","horizontal_pull",,"barbell-row"
"6164ace2-6775-453c-8ca8-8aabefa6b987","back","middle back","beginner",,,"2026-04-24T22:58:47.864633+00:00","Chest-Supported Row","Remo con apoyo en pecho","machine","gym","true","horizontal_pull",,"chest-supported-row"
"ef27c535-8d2f-4441-9dfc-97513ee7bf89","back","middle back","beginner",,,"2026-04-24T22:58:47.864633+00:00","Seated Cable Row","Remo sentado en polea","cable","gym","true","horizontal_pull",,"seated-cable-row"
"7794bcd3-151d-4709-a9a6-384676cbe1f7","back","middle back","beginner",,,"2026-04-24T22:58:47.864633+00:00","Seated Row Machine","Remo sentado en máquina","machine","gym","true","horizontal_pull",,"seated-row-machine"
"ecc768f9-789c-4bce-be34-c8e1578e9ea1","back","middle back","intermediate",,,"2026-04-24T22:58:47.864633+00:00","T-Bar Row","Remo en T","machine","gym","true","horizontal_pull",,"t-bar-row"
"915ab619-3a23-4c4f-b369-b97dfc2b2507","back","posterior chain","advanced",,,"2026-04-24T22:58:47.864633+00:00","Deadlift","Peso muerto","barbell","gym","true","hip_hinge",,"deadlift"
"80428666-767b-4f90-87ff-c3fe67cf652a","back","rear delts","beginner",,,"2026-04-24T22:58:47.864633+00:00","Face Pull","Face pull","cable","gym","true","scapular_retraction",,"face-pull"
"b97bd300-78b4-4a29-853a-526f5336ef13","cardio","calves/conditioning","beginner",,,"2026-04-24T22:58:47.864633+00:00","Jump Rope","Saltar la cuerda","jump rope","cardio","true","conditioning",,"jump-rope"
"4f578c24-0abc-4411-b732-666f519b5810","cardio","conditioning","beginner",,,"2026-04-24T22:58:47.864633+00:00","Cycling","Ciclismo","bike","cardio","true","locomotion",,"cycling"
"2b4a114f-7622-466f-97f5-a4dec668ae3f","cardio","conditioning","beginner",,,"2026-04-24T22:58:47.864633+00:00","Elliptical","Elíptica","machine","cardio","true","conditioning",,"elliptical"
"294b1376-70be-41c5-8dc3-6cb3a28c9ee6","cardio","conditioning","beginner",,,"2026-04-24T22:58:47.864633+00:00","Incline Walk","Caminata en inclinación","treadmill","cardio","true","conditioning",,"incline-walk"
"1622d2d6-e6e8-4aa7-a992-31d2fb68282d","cardio","conditioning","beginner",,,"2026-04-24T22:58:47.864633+00:00","Rowing","Remo cardio","rowing machine","cardio","true","conditioning",,"rowing"
